region_name,state_name,lat_max,lat_min,lng_max,lng_min,lat_avg,lng_avg,yearly_sunlight_kwh_kw_threshold_avg,count_qualified,percent_covered,percent_qualified,number_of_panels_n,number_of_panels_s,number_of_panels_e,number_of_panels_w,number_of_panels_f,number_of_panels_median,number_of_panels_total,kw_median,kw_total,yearly_sunlight_kwh_n,yearly_sunlight_kwh_s,yearly_sunlight_kwh_e,yearly_sunlight_kwh_w,yearly_sunlight_kwh_f,yearly_sunlight_kwh_median,yearly_sunlight_kwh_total,install_size_kw_buckets,carbon_offset_metric_tons,existing_installs_count,center_point
19149,Pennsylvania,40.0512295,40.0268795,-75.0413555,-75.0925965,40.037404440341732,-75.065705174654767,997.9,4602,90.102627478373009,27.44349692885682,3408,5878,5145,3187,146724,11,164342,2.75,41085.5,903130.31436767569,1850868.9417785641,1576590.6374511721,858083.72630004887,43827579.561889641,3332.0786499023438,49016253.181787051,"[[0,3888],[5,430],[10,80],[15,39],[20,24],[25,12],[30,7],[35,14],[40,7],[45,8],[50,3],[55,5],[60,6],[65,7],[70,1],[75,7],[80,2],[85,1],[90,4],[95,2],[100,4],[105,2],[110,1],[120,1],[125,3],[130,1],[135,1],[140,2],[145,1],[155,1],[160,2],[165,2],[190,2],[195,1],[220,1],[240,1],[285,2],[290,2],[300,1],[305,1],[320,1],[330,1],[340,1],[380,1],[385,1],[430,1],[445,1],[460,1],[475,1],[560,2],[565,1],[570,1],[575,1],[640,1],[735,1],[750,1],[830,1],[875,1],[1070,1],[1240,1],[1305,1],[1320,1]]",31147.899202816374,3,POINT(-75.0657051746548 40.0374044403417)
19120,Pennsylvania,40.0527086,40.0124032,-75.0969875,-75.1387471,40.034398293281114,-75.120887243505962,997.9,6086,89.833649969880909,31.392170010832,7557,16061,12854,10272,216962,12,263706,3.0,65926.5,1950522.6655700691,5073438.2647094745,3776295.318957522,2820022.2641601572,64645035.345489465,3572.8123046875,78265313.858886689,"[[0,4877],[5,722],[10,107],[15,67],[20,40],[25,37],[30,34],[35,18],[40,14],[45,11],[50,11],[55,8],[60,7],[65,9],[70,9],[75,5],[80,5],[85,6],[90,4],[95,5],[100,7],[105,3],[110,4],[115,1],[120,5],[125,5],[130,2],[135,1],[140,2],[145,3],[150,2],[155,3],[160,3],[165,1],[175,2],[180,3],[185,1],[190,1],[195,2],[200,1],[220,1],[230,1],[235,1],[240,3],[255,2],[265,1],[295,1],[300,2],[315,1],[320,2],[345,1],[350,1],[365,1],[385,1],[410,1],[415,1],[435,1],[445,1],[755,1],[810,1],[815,1],[820,1],[865,1],[960,1],[1110,1],[1140,1],[1180,1],[1230,1],[1300,1],[1345,1],[1995,1],[2220,1],[4045,1]]",49734.525772753259,2,POINT(-75.120887243506 40.0343982932811)
19132,Pennsylvania,40.0058933,39.9863578,-75.1506389,-75.1906974,39.995681490757846,-75.169645159245007,997.9,5157,88.181974642877634,33.55019191984907,4664,13486,9191,8378,174776,12,210495,3.0,52623.75,1198443.5034301754,4355742.1449218756,2644355.2062500007,2354783.7372009279,51760215.24395752,3379.9156372070311,62313539.835760504,"[[0,4250],[5,463],[10,78],[15,68],[20,37],[25,24],[30,22],[35,23],[40,18],[45,16],[50,12],[55,9],[60,14],[65,6],[70,7],[75,5],[80,4],[85,6],[90,7],[100,7],[105,2],[110,2],[115,2],[120,5],[125,3],[130,1],[135,3],[140,2],[150,2],[155,1],[160,3],[165,3],[170,2],[180,3],[185,1],[195,4],[200,1],[215,2],[235,1],[245,1],[250,1],[255,2],[260,1],[270,1],[285,3],[305,1],[315,1],[325,1],[355,1],[360,1],[375,2],[390,1],[400,1],[445,2],[450,2],[460,1],[470,1],[475,1],[480,1],[510,2],[525,1],[610,1],[680,1],[730,1],[790,1],[840,1],[845,1],[890,1],[1080,1],[1465,1]]",39597.80137777116,0,POINT(-75.169645159245 39.9956814907579)
19134,Pennsylvania,40.0073335,39.977417,-75.0872131,-75.1310049,39.992451062913055,-75.1119347717865,997.9,7551,90.754669145609739,35.156904739733683,10910,23038,14457,17419,378488,12,444312,3.0,111078.0,2835591.9657257092,7368521.89238281,3994669.8953613285,5198415.9049621588,113110773.37730098,3582.464453125,132507973.03573295,"[[0,5795],[5,831],[10,179],[15,117],[20,87],[25,61],[30,50],[35,35],[40,32],[45,31],[50,27],[55,23],[60,19],[65,19],[70,10],[75,16],[80,11],[85,6],[90,6],[95,12],[100,3],[105,10],[110,7],[115,9],[120,2],[125,6],[130,7],[135,5],[140,8],[145,2],[155,2],[160,3],[165,2],[170,3],[175,2],[180,1],[185,3],[190,3],[195,1],[200,2],[205,1],[210,1],[215,4],[220,6],[225,4],[230,1],[235,5],[240,2],[245,4],[260,1],[270,1],[275,2],[280,2],[285,1],[290,1],[295,3],[300,2],[305,1],[310,1],[315,3],[320,2],[340,2],[360,3],[395,1],[420,1],[430,2],[440,1],[445,3],[455,1],[465,1],[480,1],[490,1],[495,1],[505,1],[520,1],[545,1],[565,1],[570,1],[585,1],[600,1],[615,2],[635,1],[670,1],[675,2],[685,1],[700,1],[710,1],[720,1],[730,1],[740,1],[745,1],[785,1],[825,1],[900,1],[1035,1],[1040,1],[1075,1],[1085,1],[1105,2],[1205,1],[1245,1],[1310,1],[1365,1],[1450,1],[1705,1],[1880,1],[2300,1]]",84203.600229894932,3,POINT(-75.1119347717865 39.9924510629131)
19138,Pennsylvania,40.0714515,40.0399482,-75.1470133,-75.176449,40.056626771542405,-75.156949278258423,997.9,4256,93.056346044393848,37.186544342507645,2417,6650,5865,2916,100013,12,117861,3.0,29465.25,632613.04089965823,2038110.6297119139,1696291.3066040033,820237.52600097656,29609031.535632323,3545.3973144531251,34796284.038848825,"[[0,3505],[5,529],[10,57],[15,29],[20,12],[25,16],[30,7],[35,8],[40,7],[45,10],[50,7],[55,7],[60,4],[65,5],[70,4],[75,3],[80,4],[85,3],[90,5],[95,4],[115,4],[125,2],[130,2],[140,1],[150,1],[165,1],[170,1],[185,1],[195,1],[210,1],[235,1],[240,1],[255,1],[265,1],[275,1],[285,1],[335,1],[355,1],[400,1],[485,1],[505,1],[630,1],[715,1],[780,1],[1445,1]]",22111.668630709424,3,POINT(-75.1569492782584 40.0566267715424)
19143,Pennsylvania,39.9571247,39.9246171,-75.2057367,-75.250595,39.945132247936037,-75.229360626974056,997.9,7093,86.73195322507334,33.792282039066222,5838,15829,11636,12887,189106,12,235296,3.0,58824.0,1495558.4370361331,4986578.4850463867,3342262.0067321784,3702613.6885070805,56323861.764996327,3655.3955322265624,69850874.382318154,"[[0,5598],[5,972],[10,126],[15,66],[20,38],[25,46],[30,27],[35,31],[40,22],[45,12],[50,15],[55,13],[60,4],[65,10],[70,9],[75,6],[80,5],[85,3],[90,8],[95,6],[100,6],[105,6],[110,3],[115,1],[120,3],[125,4],[130,2],[135,4],[140,2],[150,1],[165,2],[170,1],[175,3],[180,1],[185,1],[200,1],[210,2],[215,1],[225,1],[230,1],[250,1],[260,1],[270,1],[275,1],[285,3],[290,1],[295,1],[310,1],[325,2],[335,1],[340,2],[350,2],[480,1],[495,1],[505,1],[510,1],[560,1],[635,1],[690,1],[700,1],[830,1],[910,1],[1035,1],[1145,1],[2275,1]]",44387.480748884693,10,POINT(-75.2293606269741 39.945132247936)
19148,Pennsylvania,39.9305622,39.8950972,-75.1326697,-75.1733712,39.9212320504809,-75.159459168750573,997.9,7885,91.992882562277586,41.220136964817819,4987,6927,8856,5896,474229,12,500895,3.0,125223.75,1204214.7706970209,2232375.3695983891,2446104.3440490724,1657986.6075683585,142350508.46917728,3568.8636230468751,149891189.56109,"[[0,6679],[5,727],[10,91],[15,40],[20,48],[25,30],[30,24],[35,27],[40,6],[45,13],[50,11],[55,11],[60,4],[65,12],[70,4],[75,3],[80,3],[85,3],[90,4],[95,3],[100,5],[105,5],[110,1],[115,1],[120,3],[125,5],[130,3],[135,4],[145,2],[150,2],[155,2],[160,1],[165,1],[170,3],[175,3],[180,1],[185,1],[190,1],[195,3],[210,1],[215,2],[220,1],[225,1],[230,1],[235,2],[240,1],[245,1],[260,1],[270,2],[285,3],[300,3],[310,1],[320,1],[335,1],[355,2],[360,3],[380,1],[410,1],[420,2],[425,2],[450,2],[475,2],[485,1],[495,1],[515,1],[525,1],[530,2],[590,3],[600,1],[630,1],[670,1],[675,1],[680,1],[690,1],[695,1],[720,1],[745,2],[760,1],[790,1],[800,1],[845,1],[875,1],[880,1],[885,1],[895,1],[955,1],[970,1],[1005,1],[1020,1],[1100,1],[1105,1],[1160,1],[1260,1],[1315,1],[1345,1],[1375,1],[1400,1],[1415,1],[1470,1],[1475,1],[1510,1],[1550,1],[1620,1],[1775,1],[1785,1],[1865,1],[1915,1],[2040,1],[2075,1],[2180,1],[2225,1],[2530,1],[2600,1],[2895,1],[3025,1],[3760,1]]",95249.949981363447,2,POINT(-75.1594591687506 39.9212320504809)
19131,Pennsylvania,40.0084497,39.9668965,-75.1935926,-75.2497519,39.981056074192587,-75.22950506831279,997.9,4590,90.837913122035687,38.040775733465935,5125,19608,9951,11050,205718,13,251452,3.25,62863.0,1324768.123388672,6047986.1932312,2820370.8282836918,3057430.9751281752,60962091.766796887,3878.0359741210937,74212647.886828646,"[[0,3378],[5,690],[10,128],[15,48],[20,52],[25,31],[30,19],[35,23],[40,22],[45,18],[50,12],[55,14],[60,8],[65,7],[70,12],[75,4],[80,9],[85,9],[90,3],[95,2],[100,9],[105,3],[110,5],[115,2],[120,4],[125,2],[130,2],[135,1],[140,1],[145,1],[155,2],[160,1],[170,2],[175,1],[190,2],[195,1],[200,2],[205,1],[210,1],[215,3],[220,4],[230,1],[235,2],[240,3],[255,1],[260,1],[265,2],[275,1],[280,2],[285,2],[300,1],[310,3],[315,2],[325,1],[330,5],[340,1],[375,1],[430,1],[435,1],[450,1],[455,2],[475,1],[490,1],[505,1],[520,1],[535,1],[565,1],[570,1],[575,1],[600,1],[795,1],[1080,2],[1380,1],[1705,1],[1855,1],[1915,1],[2415,1]]",47159.216094712516,6,POINT(-75.2295050683128 39.9810560741926)
19133,Pennsylvania,40.0018637,39.9834374,-75.1290836,-75.1545495,39.992899967370484,-75.141472932390258,997.9,3545,87.518202621177451,42.132160684573329,2822,7157,7611,6045,115154,13,138789,3.25,34697.25,739307.89003906248,2280922.9423767091,2196609.6730651855,1664932.2504821781,34231920.536657706,3890.1309387207029,41113693.292620845,"[[0,2607],[5,487],[10,133],[15,72],[20,38],[25,27],[30,29],[35,12],[40,10],[45,12],[50,12],[55,10],[60,6],[65,9],[70,2],[75,7],[80,2],[85,4],[90,4],[95,4],[100,3],[105,4],[110,6],[115,3],[120,1],[125,2],[130,6],[135,1],[140,2],[145,1],[165,2],[170,2],[185,1],[195,1],[205,1],[220,2],[245,1],[250,1],[255,1],[265,2],[270,1],[285,1],[290,1],[310,1],[315,1],[345,2],[355,2],[405,1],[430,1],[470,1],[540,1],[665,1],[920,1]]",26126.133504832876,2,POINT(-75.1414729323903 39.9928999673705)
19139,Pennsylvania,39.9692751,39.9520303,-75.2112471,-75.2509368,39.961830604682611,-75.2313812556428,997.9,4874,88.452950558213715,35.153263613415071,3302,9373,9103,8933,139801,13,170512,3.25,42628.0,830190.55918579118,3012762.3784912117,2609461.6826599124,2508770.0469238278,41525908.444073483,3883.126220703125,50487093.111334249,"[[0,3659],[5,731],[10,139],[15,59],[20,46],[25,38],[30,18],[35,18],[40,17],[45,19],[50,9],[55,9],[60,9],[65,4],[70,13],[75,2],[80,4],[85,9],[90,7],[95,3],[100,6],[105,3],[110,2],[115,5],[120,4],[125,2],[130,4],[140,3],[180,1],[185,3],[190,1],[200,1],[210,2],[215,1],[220,2],[225,3],[230,1],[245,1],[250,1],[255,1],[290,1],[305,1],[335,1],[380,2],[390,1],[395,1],[440,1],[550,1],[580,1],[585,1],[660,1],[665,1],[1175,1]]",32082.5600733464,2,POINT(-75.2313812556428 39.9618306046826)
